init_date,forecast_date,lead_days,hres_flood_risk,hres_flood_score,actual_flood_risk,smi_varied,ro_varied
2023-01-15,2023-01-16,1,0,0.085028,0,True,True
2023-01-15,2023-01-17,2,0,0.085389,0,True,True
2023-01-15,2023-01-18,3,0,0.102481,0,True,True
2023-01-15,2023-01-19,4,0,0.107556,0,True,True
2023-01-15,2023-01-20,5,0,0.093388,0,True,True
2023-01-15,2023-01-21,6,0,0.076217,0,True,True
2023-01-15,2023-01-22,7,0,0.12785,0,True,True
2023-01-15,2023-01-23,8,0,0.075934,0,True,True
2023-01-15,2023-01-24,9,0,0.153774,0,True,True
2023-01-15,2023-01-25,10,0,0.09697,0,True,True
2023-03-01,2023-03-02,1,0,0.023265,0,True,True
2023-03-01,2023-03-03,2,0,0.022355,0,True,True
2023-03-01,2023-03-04,3,0,0.015327,0,True,True
2023-03-01,2023-03-05,4,0,0.047205,0,True,True
2023-03-01,2023-03-06,5,0,0.012267,0,True,True
2023-03-01,2023-03-07,6,0,0.080095,0,True,True
2023-03-01,2023-03-08,7,0,0.007958,0,True,True
2023-03-01,2023-03-09,8,0,0.019386,0,True,True
2023-03-01,2023-03-10,9,0,0.062455,0,True,True
2023-03-01,2023-03-11,10,0,0.043032,0,True,True
2023-04-01,2023-04-02,1,4,0.524933,3,True,True
2023-04-01,2023-04-03,2,4,0.541745,3,True,True
2023-04-01,2023-04-04,3,4,0.561157,3,True,True
2023-04-01,2023-04-05,4,4,0.560144,3,True,True
2023-04-01,2023-04-06,5,4,0.531357,3,True,True
2023-04-01,2023-04-07,6,3,0.509607,3,True,True
2023-04-01,2023-04-08,7,3,0.479516,3,True,True
2023-04-01,2023-04-09,8,3,0.499606,3,True,True
2023-04-01,2023-04-10,9,4,0.604855,2,True,True
2023-04-01,2023-04-11,10,2,0.352166,2,True,True
2023-07-01,2023-07-02,1,0,0.200258,0,True,True
2023-07-01,2023-07-03,2,1,0.236205,0,True,True
2023-07-01,2023-07-04,3,0,0.198094,0,True,True
2023-07-01,2023-07-05,4,0,0.20319,0,True,True
2023-07-01,2023-07-06,5,0,0.16315,0,True,True
2023-07-01,2023-07-07,6,0,0.171188,0,True,True
2023-07-01,2023-07-08,7,1,0.227426,0,True,True
2023-07-01,2023-07-09,8,0,0.176194,0,True,True
2023-07-01,2023-07-10,9,0,0.111643,0,True,True
2023-07-01,2023-07-11,10,0,0.117986,0,True,True
2023-10-15,2023-10-16,1,2,0.36966,2,True,True
2023-10-15,2023-10-17,2,2,0.33911,2,True,True
2023-10-15,2023-10-18,3,2,0.387394,1,True,True
2023-10-15,2023-10-19,4,1,0.288868,1,True,True
2023-10-15,2023-10-20,5,2,0.312126,1,True,True
2023-10-15,2023-10-21,6,2,0.361167,1,True,True
2023-10-15,2023-10-22,7,1,0.253746,0,True,True
2023-10-15,2023-10-23,8,0,0.219868,0,True,True
2023-10-15,2023-10-24,9,0,0.222361,0,True,True
2023-10-15,2023-10-25,10,1,0.305366,1,True,True
2024-01-15,2024-01-16,1,0,0.080776,0,True,True
2024-01-15,2024-01-17,2,0,0.055661,0,True,True
2024-01-15,2024-01-18,3,0,0.160919,0,True,True
2024-01-15,2024-01-19,4,0,0.093848,0,True,True
2024-01-15,2024-01-20,5,0,0.197543,0,True,True
2024-01-15,2024-01-21,6,0,0.050448,0,True,True
2024-01-15,2024-01-22,7,0,0.026009,0,True,True
2024-01-15,2024-01-23,8,0,0.052578,0,True,True
2024-01-15,2024-01-24,9,0,0.11403,0,True,True
2024-01-15,2024-01-25,10,0,0.0843,0,True,True
2024-04-01,2024-04-02,1,0,0.099202,0,True,True
2024-04-01,2024-04-03,2,1,0.261789,0,True,True
2024-04-01,2024-04-04,3,2,0.3622,2,True,True
2024-04-01,2024-04-05,4,2,0.319651,2,True,True
2024-04-01,2024-04-06,5,2,0.322525,1,True,True
2024-04-01,2024-04-07,6,1,0.256398,1,True,True
2024-04-01,2024-04-08,7,1,0.26001,0,True,True
2024-04-01,2024-04-09,8,1,0.244549,0,True,True
2024-04-01,2024-04-10,9,0,0.186025,0,True,True
2024-04-01,2024-04-11,10,0,0.14112,0,True,True
2024-10-01,2024-10-02,1,2,0.351441,2,True,True
2024-10-01,2024-10-03,2,2,0.372823,2,True,True
2024-10-01,2024-10-04,3,3,0.482459,3,True,True
2024-10-01,2024-10-05,4,3,0.507587,3,True,True
2024-10-01,2024-10-06,5,3,0.435328,3,True,True
2024-10-01,2024-10-07,6,3,0.41865,3,True,True
2024-10-01,2024-10-08,7,3,0.47459,2,True,True
2024-10-01,2024-10-09,8,2,0.389308,2,True,True
2024-10-01,2024-10-10,9,3,0.50549,3,True,True
2024-10-01,2024-10-11,10,3,0.440142,3,True,True
