time,dmi
1998-01-01,0.525
1998-02-01,0.422
1998-03-01,-0.055
1998-04-01,0.047
1998-05-01,0.14
1998-06-01,0.147
1998-07-01,-0.385
1998-08-01,-0.58
1998-09-01,-0.496
1998-10-01,-0.743
1998-11-01,-0.653
1998-12-01,-0.336
1999-01-01,-0.13
1999-02-01,-0.038
1999-03-01,0.102
1999-04-01,-0.002
1999-05-01,-0.186
1999-06-01,-0.145
1999-07-01,0.112
1999-08-01,0.023
1999-09-01,-0.05
1999-10-01,-0.19
1999-11-01,-0.116
1999-12-01,-0.148
2000-01-01,-0.125
2000-02-01,-0.009
2000-03-01,0.14
2000-04-01,0.141
2000-05-01,0.113
2000-06-01,-0.022
2000-07-01,0.077
2000-08-01,0.131
2000-09-01,-0.096
2000-10-01,-0.142
2000-11-01,-0.306
2000-12-01,-0.248
2001-01-01,-0.431
2001-02-01,-0.017
2001-03-01,-0.01
2001-04-01,0.136
2001-05-01,0.137
2001-06-01,0.127
2001-07-01,-0.14
2001-08-01,-0.301
2001-09-01,-0.223
2001-10-01,-0.451
2001-11-01,-0.245
2001-12-01,-0.051
2002-01-01,-0.142
2002-02-01,-0.098
2002-03-01,0.008
2002-04-01,-0.352
2002-05-01,-0.329
2002-06-01,-0.19
2002-07-01,-0.26
2002-08-01,-0.208
2002-09-01,0.286
2002-10-01,0.405
2002-11-01,0.096
2002-12-01,-0.158
2003-01-01,-0.239
2003-02-01,0.017
2003-03-01,-0.039
2003-04-01,-0.099
2003-05-01,-0.164
2003-06-01,0.139
2003-07-01,0.131
2003-08-01,0.108
2003-09-01,-0.061
2003-10-01,-0.243
2003-11-01,-0.159
2003-12-01,0.189
2004-01-01,0.044
2004-02-01,0.114
2004-03-01,0.077
2004-04-01,-0.08
2004-05-01,-0.565
2004-06-01,-0.384
2004-07-01,-0.301
2004-08-01,-0.132
2004-09-01,-0.106
2004-10-01,-0.004
2004-11-01,-0.153
2004-12-01,-0.132
2005-01-01,-0.124
2005-02-01,-0.56
2005-03-01,-0.432
2005-04-01,0.084
2005-05-01,-0.033
2005-06-01,-0.176
2005-07-01,-0.384
2005-08-01,-0.345
2005-09-01,-0.534
2005-10-01,-0.436
2005-11-01,-0.272
2005-12-01,-0.3
2006-01-01,-0.135
2006-02-01,-0.305
2006-03-01,-0.226
2006-04-01,-0.015
2006-05-01,-0.207
2006-06-01,-0.059
2006-07-01,0.04
2006-08-01,0.229
2006-09-01,0.428
2006-10-01,0.577
2006-11-01,0.501
2006-12-01,0.172
2007-01-01,0.224
2007-02-01,0.15
2007-03-01,0.116
2007-04-01,0.1
2007-05-01,0.27
2007-06-01,0.03
2007-07-01,0.045
2007-08-01,0.236
2007-09-01,0.235
2007-10-01,0.068
2007-11-01,-0.023
2007-12-01,-0.227
2008-01-01,0.115
2008-02-01,-0.072
2008-03-01,0.097
2008-04-01,-0.153
2008-05-01,0.178
2008-06-01,0.215
2008-07-01,0.246
2008-08-01,0.124
2008-09-01,0.086
2008-10-01,0.029
2008-11-01,-0.128
2008-12-01,-0.053
2009-01-01,0.031
2009-02-01,0.163
2009-03-01,0.1
2009-04-01,0.126
2009-05-01,0.256
2009-06-01,0.1
2009-07-01,-0.192
2009-08-01,-0.104
2009-09-01,-0.103
2009-10-01,-0.013
2009-11-01,-0.067
2009-12-01,0.16
2010-01-01,0.294
2010-02-01,0.023
2010-03-01,0.458
2010-04-01,0.37
2010-05-01,-0.03
2010-06-01,-0.14
2010-07-01,-0.001
2010-08-01,-0.062
2010-09-01,-0.268
2010-10-01,-0.437
2010-11-01,-0.495
2010-12-01,-0.212
2011-01-01,0.192
2011-02-01,0.242
2011-03-01,0.367
2011-04-01,0.154
2011-05-01,-0.089
2011-06-01,0.055
2011-07-01,0.223
2011-08-01,0.344
2011-09-01,0.202
2011-10-01,0.356
2011-11-01,0.336
2011-12-01,-0.128
2012-01-01,0.046
2012-02-01,-0.078
2012-03-01,0.026
2012-04-01,-0.271
2012-05-01,-0.37
2012-06-01,0.001
2012-07-01,0.546
2012-08-01,0.652
